month,total,incineration,garbageBury,largeGarbageRecycle,foodWaste,recycle,other,average
2001M01,770095,295355,339023,0,0,75630,60087,1.124
2001M02,629350,248283,256351,0,0,74732,49983,1.016
2001M03,663170,271344,264674,0,0,77137,50015,0.966
2001M04,650177,279304,250420,0,0,72205,48249,0.976
2001M05,713649,326336,246014,0,0,96295,45004,1.034
2001M06,695624,326309,236874,0,0,91924,40516,1.041
2001M07,704734,356180,206992,0,0,96427,45136,1.020
2001M08,693821,345400,211975,0,0,98186,38261,1.005
2001M09,795625,362212,304039,0,0,88582,40793,1.192
2001M10,726018,315929,270775,0,0,101538,37775,1.052
2001M11,650861,285575,236909,0,0,94331,34046,0.973
2001M12,640683,324674,191039,0,0,89766,35205,0.926
2002M01,683665,345433,198188,0,0,108206,31838,0.988
2002M02,672584,353367,198474,0,0,95222,25522,1.075
2002M03,652716,341320,182254,0,0,102716,26426,0.942
2002M04,662728,363258,181085,0,0,93790,24595,0.987
2002M05,694568,380675,189499,0,0,102992,21401,1.001
2002M06,671190,373771,176130,0,0,92674,28614,1.003
2002M07,691517,390530,170942,0,0,103016,27029,1.003
2002M08,681693,382657,163702,0,0,108936,26397,0.989
2002M09,649518,359573,165399,0,0,102177,22369,0.975
2002M10,668299,343228,185622,0,0,110382,29066,0.970
2002M11,612179,328975,156378,0,0,107199,19628,0.917
2002M12,644181,353381,162517,0,0,114527,13756,0.933
2003M01,710215,397710,174292,0,8948,113909,15356,1.023
2003M02,550699,316471,123177,0,10139,90116,10796,0.876
2003M03,610571,353792,128981,0,11510,103688,12600,0.878
2003M04,627469,363105,133639,0,12352,100401,17973,0.930
2003M05,668782,360933,164640,0,13815,116191,13203,0.959
2003M06,654195,371453,147821,0,13498,110205,11219,0.969
2003M07,675156,377136,146773,0,14882,126174,10192,0.969
2003M08,656865,376204,135333,0,14614,121063,9651,0.942
2003M09,668895,384371,136603,0,15800,123077,9045,0.990
2003M10,639074,351194,135405,0,16410,127017,9048,0.915
2003M11,602510,313748,145138,0,17277,114353,11994,0.890
2003M12,643587,339933,141087,0,19356,132965,10246,0.920
2004M01,696099,395233,151548,0,21789,117914,9614,0.995
2004M02,591716,326367,117994,0,21379,117710,8266,0.904
2004M03,627731,349888,116664,0,22963,131049,7166,0.896
2004M04,619103,339664,124011,0,23390,121882,10156,0.913
2004M05,651088,361769,137501,0,25916,118645,7257,0.929
2004M06,669185,387857,117681,0,26548,131773,5327,0.987
2004M07,667594,394328,116719,0,25424,126374,4748,0.953
2004M08,656224,382116,114372,0,24301,130745,4691,0.936
2004M09,640068,366284,111339,0,24823,132611,5012,0.943
2004M10,619278,330194,124193,0,25208,134844,4839,0.882
2004M11,626843,332284,123097,0,27554,136315,7594,0.922
2004M12,650031,341754,119047,0,29970,152944,6317,0.925
2005M01,656035,380660,104940,2574,35827,126559,5475,0.933
2005M02,640793,370156,104681,2200,36133,123289,4334,1.009
2005M03,650863,359579,98553,1347,37432,150645,3307,0.926
2005M04,633506,332646,104069,1512,42990,147234,5054,0.931
2005M05,666509,359270,106375,1561,43718,150256,5328,0.947
2005M06,670038,380450,90663,2163,41526,151669,3566,0.984
2005M07,683512,385660,96356,4873,37372,156553,2697,0.971
2005M08,679191,382372,93080,2675,37483,162856,725,0.965
2005M09,660542,364280,89777,3153,37439,163373,2521,0.969
2005M10,629688,335791,97689,2773,37973,153757,1705,0.894
2005M11,622630,318023,99670,2573,37572,162304,2488,0.913
2005M12,635378,331511,98745,2171,38736,161159,3055,0.901
2006M01,687321,367784,103616,3578,41125,167722,3496,0.975
2006M02,596097,324825,84760,1464,42845,140125,2079,0.935
2006M03,635158,326259,82062,2267,44991,178157,1421,0.899
2006M04,612048,320099,73868,1566,48058,166801,1658,0.895
2006M05,665768,344364,84207,2364,50420,183442,972,0.942
2006M06,668101,359602,70987,2698,48985,185276,554,0.977
2006M07,670102,367193,65409,1660,46399,188806,636,0.948
2006M08,671907,361360,63265,2053,48268,196416,544,0.950
2006M09,637838,344741,57317,2529,48448,183949,853,0.931
2006M10,655268,352267,58321,2832,50159,190016,1673,0.926
2006M11,646579,350407,50525,2949,50462,190084,2152,0.943
2006M12,645418,345067,56679,2687,50017,189318,1652,0.911
2007M01,669649,371663,48035,3038,50076,195990,848,0.944
2007M02,658237,386836,48880,3037,50669,167897,918,1.028
2007M03,671883,368444,44152,1988,55526,200943,831,0.948
2007M04,641209,353137,45477,2178,53678,185143,1597,0.934
2007M05,674137,365524,50618,2829,56691,196456,2019,0.950
2007M06,680109,381399,37541,2341,57053,198560,3215,0.990
2007M07,680124,375015,38329,2724,58048,204876,1132,0.958
2007M08,695753,385436,37044,3091,58798,211228,157,0.980
2007M09,639221,348446,30804,2508,55275,202044,145,0.930
2007M10,676374,355058,45373,2738,54999,210818,7387,0.952
2007M11,620035,310086,43163,2570,54493,202630,7094,0.901
2007M12,642717,334726,35531,2188,57485,205608,7179,0.904
2008M01,682388,382802,27405,2676,58545,210784,176,0.959
2008M02,629922,365300,23174,2292,57652,181373,133,0.946
2008M03,606304,337292,18753,2161,57681,190267,151,0.851
2008M04,611410,337406,17960,2301,57321,196263,158,0.887
2008M05,647752,354148,21247,2399,61232,208717,8,0.909
2008M06,644275,353399,17489,2955,60109,210316,8,0.934
2008M07,646515,360850,19080,4325,58798,203454,7,0.907
2008M08,622844,333976,17645,4321,56479,210417,7,0.874
2008M09,642632,348806,18396,5525,57677,212179,49,0.931
2008M10,621165,331001,19926,6097,55602,208531,7,0.871
2008M11,573100,299502,18319,4644,53494,197134,7,0.830
2008M12,609066,332802,16728,4770,56603,198125,37,0.853
2009M01,666916,387876,19520,5776,57250,196486,8,0.934
2009M02,603384,321171,16055,4367,58098,203687,7,0.935
2009M03,618851,329950,15827,4397,58772,209899,7,0.866
2009M04,620060,328230,14598,4227,59782,213217,7,0.896
2009M05,635779,334901,14086,4430,60543,221473,346,0.889
2009M06,674564,357906,14520,5072,63185,232980,900,0.975
2009M07,664885,344645,14165,5678,62929,237461,7,0.930
2009M08,685801,363353,21476,8009,58633,234323,7,0.959
2009M09,642615,311225,14501,6346,58567,251969,7,0.928
2009M10,655304,328883,13837,6016,61217,245343,7,0.915
2009M11,634043,314302,13897,5590,61198,239049,7,0.915
2009M12,643817,313962,13282,5565,61296,249704,7,0.899
2010M01,670991,338901,13836,7365,60115,250768,7,0.936
2010M02,671571,359297,15164,6993,59564,230547,6,1.037
2010M03,674038,329915,14762,5636,62408,261310,7,0.940
2010M04,642960,314467,13777,5729,60830,246841,1316,0.927
2010M05,672954,334249,17138,6135,64227,251199,7,0.938
2010M06,686566,344352,14371,6625,63947,257265,7,0.989
2010M07,674449,331610,14506,7257,65827,255243,7,0.940
2010M08,669168,323818,14150,6657,66142,258394,7,0.933
2010M09,689302,335753,17222,8548,66129,260843,807,0.993
2010M10,638173,300518,15645,7447,65678,248879,7,0.889
2010M11,634052,288684,17198,6278,66135,255750,7,0.913
2010M12,633376,287077,14001,5550,68162,258579,7,0.882
2011M01,669127,322138,17760,9852,66990,252380,7,0.932
2011M02,579427,282685,14229,4601,63782,214123,6,0.893
2011M03,630674,284573,18352,6012,65822,255909,6,0.878
2011M04,621122,276972,12358,5094,66971,259720,6,0.894
2011M05,645598,294537,11292,5501,70548,263714,6,0.899
2011M06,644114,296265,11173,6317,70774,259579,6,0.926
2011M07,640912,299283,10312,7062,70499,253750,6,0.892
2011M08,645523,296319,9600,6981,70300,262317,6,0.898
2011M09,627089,289489,8694,7061,66350,255489,6,0.901
2011M10,621275,279523,8765,7167,67568,258246,6,0.864
2011M11,596078,259332,10777,7116,66306,252540,6,0.856
2011M12,633650,287505,8843,7563,65288,264447,6,0.880
2012M01,663145,318630,10593,7588,67470,258847,17,0.921
2012M02,581227,254533,8053,6046,65086,247502,7,0.863
2012M03,625485,278802,8637,7025,68433,262582,7,0.868
2012M04,595741,267364,7935,6751,67688,245997,6,0.854
2012M05,624899,274088,8742,7039,71326,263698,6,0.867
2012M06,640348,289514,8872,6907,72368,262682,6,0.918
2012M07,620990,277878,7728,7953,71502,255924,6,0.861
2012M08,626361,279670,8819,9360,70211,258296,6,0.868
2012M09,595516,253637,8060,7927,68466,257419,6,0.853
2012M10,613300,259450,8860,7079,71640,266265,6,0.850
2012M11,605045,256114,7869,8203,70894,261958,6,0.866
2012M12,611852,267574,7885,7104,69456,259827,6,0.847
2013M01,634231,285083,8605,8120,66933,265484,6,0.877
2013M02,597573,278109,9499,6196,65033,238730,6,0.915
2013M03,615770,266933,7803,5800,68278,266950,6,0.851
2013M04,613496,273477,6841,6414,68389,258369,6,0.876
2013M05,613277,264877,7849,7006,70454,263084,6,0.848
2013M06,610220,268879,7478,6562,68135,259159,6,0.871
2013M07,643080,285548,8092,8651,68956,271828,6,0.889
2013M08,624524,273663,7052,6940,67517,269347,6,0.863
2013M09,592806,257769,6928,7476,61939,258687,6,0.846
2013M10,606793,254716,7054,7407,63403,274207,6,0.838
2013M11,583401,241141,6827,6786,63101,265540,6,0.832
2013M12,599406,258519,7328,6653,63075,263825,6,0.827
2014M01,661470,298125,8774,7347,64992,282226,6,0.913
2014M02,582868,253420,7097,3780,60760,257804,6,0.890
2014M03,606147,264120,6772,5218,60993,269039,6,0.836
2014M04,598134,255984,6626,5271,59764,270484,6,0.853
2014M05,619557,266883,6217,4990,61535,279926,6,0.855
2014M06,620332,277195,6300,5903,60625,270303,6,0.884
2014M07,641095,281291,6523,5765,60970,286538,8,0.884
2014M08,621297,273004,5994,5379,59319,277595,6,0.856
2014M09,621172,265693,8995,6071,59416,280991,6,0.885
2014M10,607449,255810,6869,6034,57933,280796,6,0.837
2014M11,569058,232157,6476,4845,56412,269162,6,0.810
2014M12,620859,265775,6492,5235,57654,285696,6,0.855
2015M01,608176,266883,7578,5478,50964,277237,36,0.837
2015M02,588467,274532,7385,5472,47830,253243,6,0.897
2015M03,617597,270293,6915,5030,52152,283193,15,0.850
